Species.name.standardized.TPL.2016,Leaf.Area..mm2.,Nmass..mg.g.,LMA..g.m2.,Plant.Height..m.,Seed.Mass..mg.,SSD.combined..mg.mm3.
Tapirira obtusa,7335.36,14.1,83.863,30,60.7229,0.285
Tapura guianensis,6030.36,16.48,101.833,11.037,129.3996,0.58
Taraxacum campylodes,2930.81,28.528,37.949,0.175,0.6116,0.257
Taraxacum confusum,2328.07,29.56,42.141,1.025,1.52,0.174
Taraxacum stevenii,2362.73,31.59,34.722,0.08,0.59,0.169
Taxodium distichum,16.73,11.9,128.205,37.596,79.0641,0.495
Taxus baccata,51.28,21.644,139.091,13.303,57.2413,0.582
Tectona grandis,80944,13.824,135.318,7.047,603.32,0.589
Teesdalia nudicaulis,104.44,39.936,35.405,0.084,0.2849,0.161
Telekia speciosissima,4792.74,18.682,40.882,0.363,0.3865,0.17
Terminalia alata,14178,14.7,106.952,22,1916.65,0.78
Terminalia amazonia,2096.47,19.504,76.562,34.101,2.9204,0.67
Terminalia bellirica,9050,8.276,151.722,23.664,2625.65,0.76
Terminalia catappa,13078.42,15.931,74.239,13.71,2840.9123,0.504
Terminalia chebula,9050,19.4,74.516,7.786,2031.3256,0.812
Terminalia glaucescens,6276.54,18.15,127.637,7,323.77,0.73
Terminalia macroptera,9050,12.617,168.549,4.791,353.9315,0.813
Terminalia oblonga,3776.42,23.963,47.114,34.741,44.5694,0.642
Terminalia sericea,1997.49,13.773,169.205,8.32,374.0909,0.71
Tetragastris panamensis,2093.87,15.38,102.598,33.112,290.6516,0.697
Tetrathylacium johansenii,5376.47,21.76,62.088,26.084,1,0.59
Teucrium canadense,1129.86,20.02,48.462,0.671,1.6518,0.229
Teucrium montanum,40,12.268,72.209,0.092,0.5876,0.35
Teucrium scorodonia,977.12,32.417,57.675,0.302,0.8128,0.291
Thalictrum alpinum,98.43,18.87,70.131,0.052,0.85,0.288
Thalictrum dasycarpum,728,11.88,39.573,0.575,2.4059,0.227
Thalictrum dioicum,361.23,16.121,19.615,0.5,2.1308,0.213
Thalictrum fendleri,112.78,36.506,48.016,0.58,1.2509,0.215
Thalictrum minus,9099.22,25.33,51.951,0.509,1.5312,0.344
Themeda triandra,430.23,13.325,112.717,1.75,2.6711,0.299
Theobroma cacao,20109.84,13.573,53.655,10.15,1601.9926,0.415
Theobroma speciosum,25252.6,19.62,67.657,15.732,687.08,0.613
Thesium bavarum,170,22.1,58.858,0.361,3.4906,0.243
Thevetia ahouai,7097.38,13.68,52.307,6.638,445.5574,0.455
Thlaspi alliaceum,525.22,31.115,20.585,0.291,0.66,0.159
Thlaspi arvense,560.33,40.4,45.931,0.261,1.0824,0.18
Thlaspi montanum,179.59,28.048,54.432,0.062,0.6133,0.172
Thuja occidentalis,10,10.362,222.966,18.588,1.3045,0.335
Thymus dolomiticus,4.94,13.781,106.429,0.5,0.2087,0.282
Thymus nummularius,68.68,25.96,58.445,0.3,0.16,0.222
Thymus praecox,12.6,26.38,68.729,0.081,0.1362,0.22
Thymus praecox subsp. polytrichus,11.33,18.345,63.494,0.043,0.1239,0.25
Thymus serpyllum,7.3,22.5,131.975,0.06,0.1877,0.246
Tilia americana,5853.72,26.139,33.854,15.985,99.4874,0.4
Tilia cordata,2818.29,23.927,42.174,18.784,34.5443,0.451
Tilia platyphyllos,6034.07,29.983,40.678,29.825,91.2612,0.454
Tillandsia duratii,2282,5.191,165.052,0.311,1,0.207
Tocoyena pittieri,32626.64,23.43,72.468,21.728,907.1273,0.64
Tofieldia pusilla,49.79,15.257,60.907,0.064,0.0353,0.253
Tolpis staticifolia,387.98,15.709,61.571,0.211,0.12,0.173
Toona ciliata,2356.2,25,78.125,26,6.4345,0.477
Tordylium maximum,8771.5,19.8,38.593,0.703,4.1495,0.174
Torilis arvensis,984.5,20.12,35.613,0.597,1.8049,0.195
Torilis japonica,2976.32,23.05,36.662,0.601,1.7614,0.159
Tovomitopsis membranacea,7221.64,26.15,80.972,5,1861.3909,0.34
Townsendia exscapa,48,18.29,83.333,0.03,0.4743,0.232
Toxicodendron diversilobum,1676.5,18.752,68.693,2.6,33.036,0.63
Tradescantia ohiensis,1323.26,10.404,51.679,0.41,3.5276,0.119
Tragopogon dubius,610.56,26.31,46.2,0.487,8.2142,0.367
Tragopogon porrifolius,1398.57,20.441,32.862,0.917,10.9937,0.174
Tragopogon pratensis,681.68,21.9,42.594,0.47,7.0628,0.161
Tragus racemosus,700,22.183,49.059,0.192,0.3194,0.37
Trapa natans,2278.57,27.788,78.705,0.288,834,0.21
Trattinnickia aspera,9620.65,19.919,94.957,35.173,204.5138,0.428
Trema micrantha,3144.9,27.601,57.569,18.268,4.5053,0.372
Trema orientalis,3086.9,30.693,77.625,3.913,4.2377,0.341
Triadica cochinchinensis,1890,19.646,47.679,15.492,46.6,0.339
Tribulus terrestris,68.06,33.763,32.627,0.038,13.1133,0.257
Trichilia martiana,3612.9,21.7,60.901,25,236.4,0.492
Trichilia pallida,6347.52,28.907,63.682,22.069,70.59,0.581
Trichilia pleeana,7185.75,25.2,102.564,30,356.0742,0.633
Trichilia quadrijuga,1926.17,23.012,53.094,30,26.8944,0.479
Trichilia tuberculata,3472.95,22.543,86.802,31.116,142.3789,0.648
Trichospermum galeottii,3844,18.5,71.273,25.71,2.5064,0.303
Trichospermum mexicanum,2884.15,18.08,96.434,20,2.8413,0.37
Tridens flavus,989.33,13.07,80,0.376,0.7781,0.413
Trifolium alpestre,235.26,25,83.539,0.215,1.2898,0.309
Trifolium arvense,54.67,25.68,49.39,0.147,0.3968,0.413
Trifolium badium,108.32,44.95,20.412,0.144,0.8843,0.165
Trifolium dubium,39.8,33.31,39.866,0.208,0.3526,0.33
Trifolium hybridum,1410.42,42.613,43.737,0.433,0.7191,0.21
Trifolium longipes,63.46,36.39,49.554,0.087,1.1944,0.2
Trifolium medium,479,33.6,55.237,0.284,2.0912,0.279
Trifolium montanum,739.36,35.432,51.132,0.275,0.7353,0.224
Trifolium pratense,479.71,39.003,43.367,0.307,1.5576,0.206
Trifolium repens,204.05,42.365,37.157,0.158,0.5339,0.151
Trigonella foenum-graecum,213.26,33.3,45.851,0.415,11.8572,0.165
Trilepisium madagascariense,2616.61,23.32,65.307,31.623,713.02,0.49
Trinia glauca,554.31,26.603,71.745,0.214,1.6633,0.208
Triplaris cumingiana,18482.36,27.41,59.152,24.139,54.7403,0.53
Tripleurospermum maritimum,153.79,24.4,67.249,0.235,0.2096,0.194
Trisetum flavescens,329.18,23.955,45.072,0.358,0.2675,0.335
Triticum aestivum,2845.5,40.411,38.746,0.943,37.3384,0.207
Trollius europaeus,5700.62,23.954,48.033,0.346,0.8969,0.194
Trophis caucana,8167.31,21.83,46.423,15.806,30.54,0.473
Trophis mexicana,1388.25,16.867,63.939,12,50,0.68
Tsuga canadensis,13.3,12.754,133.094,26.59,2.5926,0.43
Tsuga heterophylla,75,11.901,82.109,45.141,1.7356,0.445
Turpinia occidentalis,3177.97,21.08,57.059,22.849,43.6529,0.375
Turritis glabra,1820.48,29.328,37.616,0.659,0.0618,0.183
Tussilago farfara,66919.48,25.354,61.847,0.276,0.2952,0.183
Typha angustifolia,9475.81,14.533,142.343,1.587,0.0941,0.238
Typha latifolia,17369.99,14.43,94.613,1.526,0.0576,0.173
Ulex europaeus,10.54,30.396,112.019,1.165,6.3517,0.667
Ulmus americana,6018.97,20.493,82.591,37.074,5.4276,0.497
Ulmus glabra,3823.83,21.733,58.84,31.747,12.3809,0.555
Ulmus laevis,3318.59,14.7,34.051,27.942,7.1467,0.593
Ulmus minor,2409.28,23.148,60.07,23.375,4.9071,0.522
Ulmus parvifolia,378.04,31.565,88.252,21.378,3.2013,0.73
Ulmus pumila,964.34,29.296,100.319,12.53,6.254,0.54
Ulmus rubra,6858.34,20.952,59.823,27.649,11.068,0.57
Umbellularia californica,1615,15.517,125.964,26.587,1878.9648,0.549
Umbilicus rupestris,1744,16.7,33.786,0.158,0.0081,0.121
Unonopsis perrottetii,3213.85,28.298,68.684,14.879,254.442,0.685
Unonopsis pittieri,9069.48,19.679,66.209,22.335,933.93,0.39
Unonopsis rufescens,5554.48,23.95,53.447,12,45.6618,0.635
Urera caracasana,14004.35,34.075,47.304,7.071,0.3716,0.356
Urera elata,5702.75,13.7,39.707,5,0.7,0.49
Urophyllum griffithianum,7781.44,20.25,32.669,5,0.02,0.2
Urtica dioica,1552.74,42.917,34.575,0.883,0.1399,0.118
Utricularia vulgaris,181.17,28.872,11.069,0.368,0.0283,0.041
Uvularia grandiflora,2883,20.544,22.06,0.398,5.02,0.154
Vaccinium myrtillus,145.27,16.398,51.936,0.224,0.2917,0.459
Vaccinium vitis-idaea,75.3,10.574,130.791,0.14,0.3088,0.38
Valeriana dioica,812.12,23.61,35.442,0.204,0.6361,0.179
Valeriana officinalis,7169.9,15.76,37.169,0.823,1.0655,0.167
Valerianella locusta,196.25,25.589,27.898,0.105,0.9838,0.148
Valerianella rimosa,78.75,10.786,18.786,0.204,1.3323,0.154
Vallisneria americana,21861.6,28.498,22.757,0.3,3.35,0.052
Veratrum album,12929.81,38.06,36.075,0.852,3.5707,0.127
Verbascum lychnitis,18399.5,13.498,72.569,0.908,0.1143,0.201
Verbascum thapsus,7045.53,21.624,66.692,0.879,0.0886,0.231
Verbena bracteata,260,25.13,50.761,0.15,0.4827,0.224
Verbena hastata,1473.42,24.736,62.989,0.915,0.225,0.258
Verbena stricta,902.18,10.6,73.997,0.848,1.0374,0.237
Veronica alpina,55.93,30.962,38.306,0.066,0.0704,0.206
Veronica anagallis-aquatica,1291.85,27.23,23.484,0.367,0.0427,0.148
Veronica arvensis,44.19,19.858,41.236,0.077,0.1127,0.175
Veronica austriaca,184.11,17.22,45.756,0.301,0.4239,0.196
Veronica beccabunga,472.73,49.743,24.776,0.309,0.0513,0.144
Veronica chamaedrys,300.12,21.614,34.383,0.2,0.1898,0.212
Veronica filiformis,49.84,9.372,28.211,0.153,0.27,0.18
Veronica gentianoides,69.33,27.484,77.399,0.148,0.2244,0.19
Veronica hederifolia,260.68,14.168,36.641,0.161,3.7417,0.139
Veronica longifolia,613.39,17.44,42.74,0.857,0.0732,0.204
Veronica montana,458,20.037,30.291,0.268,0.3923,0.237
Veronica officinalis,87.3,18.271,39.259,0.126,0.1234,0.217
Veronica persica,492.06,23.717,26.504,0.164,0.5757,0.292
Veronica spicata,155.76,23.432,81.086,0.266,0.1424,0.239
Veronica urticifolia,1497.15,25.43,15.52,0.363,0.1049,0.153
Viburnum lantana,4083.86,11.29,53.105,2.758,32.1226,0.778
Viburnum opulus,3016.08,21.577,58.28,2.808,27.4292,0.5
Vicia americana,83.89,42.077,41.354,0.325,12.8953,0.261
Vicia cracca,713.54,39.207,44.04,0.626,15.28,0.233
Vicia hirsuta,14.13,43.2,45.501,0.316,5.4198,0.211
Vicia sativa,75,51.274,42.807,0.45,20.6355,0.172
Vicia sepium,59.14,46,25.593,0.445,19.4674,0.284
Victoria amazonica,2796250,14.99,120.105,4.167,177.6,0.12
Vinca minor,565,33.247,54.748,0.198,6.13,0.195
Vincetoxicum hirundinaria,1438.41,37.134,22.5,0.529,6.1809,0.181
Viola alba,919.78,17.294,44.723,0.07,1.6939,0.232
Viola arvensis,531.89,24.236,41.747,0.124,0.428,0.182
Viola biflora,140.22,38.93,19.116,0.11,0.74,0.164
Viola canadensis,1040,20.71,25.84,0.07,1.1296,0.201
Viola canina,523.77,31.511,39.833,0.165,0.8788,0.189
Viola hirta,3523.23,19.1,53.523,0.073,3.0552,0.216
Viola mirabilis,4327.87,23.327,21.501,0.206,2.011,0.18
Viola odorata,1826.57,17.061,39.063,0.089,3.4568,0.199
Viola pubescens,1776.7,16.221,26.961,0.222,2.0235,0.174
Viola reichenbachiana,487.8,23.367,33.343,0.136,1.5445,0.211
Viola riviniana,532,25.915,40.523,0.185,1.1749,0.2
Viola sagittata,973.58,11.322,60.204,0.117,0.53,0.208
Viola tricolor,167.92,25.459,37.244,0.162,0.5929,0.165
Virola calophylla,24327.47,20.395,122.293,20,788.27,0.454
Virola elongata,6813.1,22.825,83.192,15.492,324.24,0.56
Virola michelii,7072.61,19.293,82.193,35,1791.1371,0.499
Virola multiflora,2100.51,16.608,99.987,30.085,875.69,0.458
Virola sebifera,9111.25,24.013,77.172,24.764,502.1984,0.471
Virola surinamensis,9113.93,18.582,73.991,33.603,1566.1059,0.449
Vismia baccifera,7943.26,15.15,68.579,10.469,3.1623,0.494
Vismia cayennensis,3108.05,13.457,117.94,7.763,1,0.49
Vismia macrophylla,21182.71,16.277,65.434,12,0.6,0.494
Vitex negundo,934.03,28.413,35.549,2.596,9.8833,0.618
Vitex pinnata,7176.86,20.178,84.555,4.899,95,0.688
Vochysia ferruginea,2673.98,16.879,95.761,25.6,15.6869,0.404
Vochysia guatemalensis,10294.63,10.6,112.549,30,300,0.397
Vulpia bromoides,37.7,8.26,47.462,0.124,0.3488,0.483
Vulpia ciliata,28,19.011,39.707,0.259,0.2417,0.397
Vulpia myuros,31.06,15.658,71.617,0.116,0.4194,0.267
Welwitschia mirabilis,235500,17.79,398.7,0.77,69,0.464
Xanthium strumarium,3557.04,28.51,61.617,1.274,162.0392,0.19
Xylopia aromatica,1947.87,19.5,67.762,7.12,41.04,0.54
Xylopia frutescens,1558.47,20.986,75.435,17.436,43.15,0.592
Xylopia ligustrifolia,580.75,25.906,82.664,20,53.47,0.531
Xylopia macrantha,4841.6,16.957,76.483,20.611,162.1087,0.87
Zannichellia palustris,20.2,28.19,11.931,0.212,0.6976,0.114
Zanthoxylum ekmanii,7772.15,27.233,77.504,33.602,16.0623,0.465
Zanthoxylum juniperinum,3646,22.934,117.642,17.79,11,0.473
Zanthoxylum panamense,1701.98,26.515,59.703,28.23,15.1839,0.506
Zea mays,31173.3,20.77,47.897,2.08,232.2852,0.184
Zelkova serrata,1020.56,16.558,81.925,28.524,19.3282,0.65
Zizia aurea,5472.12,26.92,63.122,0.722,2.2215,0.241
Ziziphus jujuba,468.11,20.616,84.511,12.667,554.4905,0.698
Ziziphus mistol,272.76,30.613,89.688,3.416,695.3,0.86
Ziziphus mucronata,2417.12,26.569,90.058,5.627,830.1102,0.75
Zuelania guidonia,7406.68,20.477,60.504,21.441,16.4054,0.581
Zygophyllum fabago,79,41.8,195.807,0.2,4.756,0.181
